date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:34:46	13691/13691	---M--	200	added ('OK')	image/svg+xml	etag:%229889e084d569d11:0%22	http://www.penske.com/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons.svg?5510888	C:/My%20Web%20Sites/penske/www.penske.com/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons90c6.svg	(from http://www.penske.com/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.1.6)
20:34:47	326/326	---M--	200	added ('OK')	application/octet-stream	etag:%2225988382d569d11:0%22	http://www.penske.com/wp-content/plugins/revslider/public/assets/css/openhand.cur	C:/My%20Web%20Sites/penske/www.penske.com/wp-content/plugins/revslider/public/assets/css/openhand.cur	(from http://www.penske.com/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.1.6)
20:34:47	326/326	---M--	200	added ('OK')	application/octet-stream	etag:%221946482d569d11:0%22	http://www.penske.com/wp-content/plugins/revslider/public/assets/css/closedhand.cur	C:/My%20Web%20Sites/penske/www.penske.com/wp-content/plugins/revslider/public/assets/css/closedhand.cur	(from http://www.penske.com/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.1.6)
20:34:47	933/933	---M--	200	added ('OK')	image/png	etag:%2236323581d569d11:0%22	http://www.penske.com/wp-content/plugins/revslider/public/assets/assets/gridtile.png	C:/My%20Web%20Sites/penske/www.penske.com/wp-content/plugins/revslider/public/assets/assets/gridtile.png	(from http://www.penske.com/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.1.6)
20:34:48	931/931	---M--	200	added ('OK')	image/png	etag:%22d4e32681d569d11:0%22	http://www.penske.com/wp-content/plugins/revslider/public/assets/assets/gridtile_white.png	C:/My%20Web%20Sites/penske/www.penske.com/wp-content/plugins/revslider/public/assets/assets/gridtile_white.png	(from http://www.penske.com/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.1.6)
20:34:48	11968/11968	---M--	200	added ('OK')	application/octet-stream	etag:%228c47f884d569d11:0%22	http://www.penske.com/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons.ttf?5510888	C:/My%20Web%20Sites/penske/www.penske.com/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons90c6.ttf	(from http://www.penske.com/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.1.6)
20:34:48	938/938	---M--	200	added ('OK')	image/png	etag:%2274e41a81d569d11:0%22	http://www.penske.com/wp-content/plugins/revslider/public/assets/assets/gridtile_3x3.png	C:/My%20Web%20Sites/penske/www.penske.com/wp-content/plugins/revslider/public/assets/assets/gridtile_3x3.png	(from http://www.penske.com/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.1.6)
20:34:48	935/935	---M--	200	added ('OK')	image/png	etag:%22eb0ff80d569d11:0%22	http://www.penske.com/wp-content/plugins/revslider/public/assets/assets/gridtile_3x3_white.png	C:/My%20Web%20Sites/penske/www.penske.com/wp-content/plugins/revslider/public/assets/assets/gridtile_3x3_white.png	(from http://www.penske.com/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.1.6)
20:34:48	184/184	---M--	200	added ('OK')	image/png	etag:%22bf14f380d569d11:0%22	http://www.penske.com/wp-content/plugins/revslider/public/assets/assets/coloredbg.png	C:/My%20Web%20Sites/penske/www.penske.com/wp-content/plugins/revslider/public/assets/assets/coloredbg.png	(from http://www.penske.com/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.1.6)
20:34:48	42118/42118	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%220a0b6fff3c4d01:0%22	http://www.penske.com/wp-includes/fonts/dashicons.eot	C:/My%20Web%20Sites/penske/www.penske.com/wp-includes/fonts/dashicons.eot	(from http://www.penske.com/wp-includes/css/dashicons.min.css?ver=4.4.2)
20:34:48	2545/2545	---M--	200	added ('OK')	image/gif	etag:%223c315481d569d11:0%22	http://www.penske.com/wp-content/plugins/revslider/public/assets/assets/loader.gif	C:/My%20Web%20Sites/penske/www.penske.com/wp-content/plugins/revslider/public/assets/assets/loader.gif	(from http://www.penske.com/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.1.6)
